fecha,linea_negocio,producto,cantidad,monto,canal
5-ene-26,Tech,Pieza técnica B2B,5,2289.72,whatsapp
11/02/2026,Industrial,Serie corta industrial,1,2249.34,whatsapp
19/06/2025,ICON,Set diorama,3,S/ 303.61,
2026-06-01,tech ,Serie corta industrial,10,"24.356,12",Feria
2025-06-03,IMPRESION,Impresión resina por encargo,1,275.55,WhatsApp
2026-07-02,print ,Repuesto a medida,1,94.91,
2026-08-13,impresion 3d,Impresión PLA por encargo,1,47.59,Feria
15/02/2026,IMPRESION,Trofeo personalizado,3,354.64,whatsapp
2026-07-20,icon,Figura KUSI 10cm,3,191.49,WhatsApp
08/01/2026,Coleccionables,Llavero coleccionable,2,"33,24",Referido
2025-01-21,icon,Llavero coleccionable,1,15.01,Instagram
01/07/2025,PRINT,Impresión PLA por encargo,1,238.22,IG
22/06/2026,PRINT,Repuesto a medida,1,S/ 92.60,
21/04/2025,Coleccionables,Figura pintada a mano,3,S/ 418.99,IG
5-jun-26,ICON,Figura KUSI 10cm,3,S/ 214.19,Web
24/01/2026,PRINT,Impresión resina por encargo,1,S/ 325.57,Referido
03/02/2026,Icon ,Figura Quri 8cm,1,S/ 49.88,
,,,,,
2025-06-03,print ,Impresión PLA por encargo,2,216.30,Referido
21/06/2026,Coleccionables,Figura Quri 8cm,1,"45,22",Referido
06/06/2025,ICON,Figura pintada a mano,2,296.94,whatsapp
02/07/2025,icon,Figura pintada a mano,5,590.20,Feria
23/01/2026,ICON,Llavero coleccionable,1,14.68,whatsapp
09/05/2025,Print,Impresión PLA por encargo,1,S/ 45.31,Feria
2-may-26,icon,Llavero coleccionable,1,"15,24",IG
2026-05-25,icon,Llavero coleccionable,1,19.89,WhatsApp
2025-05-28,EDU,Taller impresión 3D,10,"3.441,62",Referido
2025-10-09,ICON,Set diorama,1,83.48,
01/06/2026,ICON,Figura Quri 8cm,1,48.27,IG
01/07/2025,EDU,Taller robótica colegio,1,1753.62,whatsapp
2025-01-17,icon,Figura Quri 8cm,1,42.56,IG
2025-07-18,impresion 3d,Trofeo personalizado,3,"446,41",IG
2025-10-04,Coleccionables,Figura KUSI 10cm,5,323.88,WhatsApp
2026-04-28,Edu,Capacitación docentes,1,"1.419,23",whatsapp
04/06/2025,Impresión 3D,Prototipo funcional,1,159.39,Instagram
2026-01-23,Icon ,Figura Quri 8cm,1,55.24,Feria
2025-02-18,print ,Impresión resina por encargo,1,S/ 262.79,Web
12/05/2026,ICON,Figura KUSI 10cm,1,58.68,Instagram
2025-12-01,ICON,Figura KUSI 10cm,1,S/ 59.55,Feria
03/03/2026,impresion 3d,Impresión resina por encargo,1,49.23,Referido
03/05/2026,impresion 3d,Trofeo personalizado,1,117.76,whatsapp
16-jul-25,Impresión 3D,Impresión PLA por encargo,1,"94,84",IG
2025-07-10,icon,Figura Quri 8cm,2,81.83,Feria
23/03/2026,PRINT,Trofeo personalizado,1,S/ 122.00,WhatsApp
2025-09-26,IMPRESION,Repuesto a medida,1,120.43,Web
2026-05-23,Tech,Matriz/fixture,1,667.76,IG
2025-04-02,Icon ,Figura KUSI 10cm,1,50.95,Instagram
2026-05-02,Icon ,Figura Quri 8cm,1,53.78,whatsapp
2026-01-18,PRINT,Repuesto a medida,1,"114,13",Referido
13/05/2026,print ,Impresión resina por encargo,1,291.89,Referido
2025-03-14,Coleccionables,Figura Quri 8cm,1,55.05,Instagram
19/04/2026,impresion 3d,Repuesto a medida,1,"98,51",Web
2026-02-22,EDU ,Taller robótica colegio,1,S/ 615.87,Feria
16/05/2025,impresion 3d,Impresión PLA por encargo,1,S/ 42.83,Instagram
2026-04-23,Icon ,Figura KUSI 10cm,1,"48,65",Referido
25/12/2025,ICON,Set diorama,1,S/ 88.46,Web
21/07/2026,Impresión 3D,Trofeo personalizado,5,S/ 791.83,IG
11/08/2026,tech ,Serie corta industrial,1,S/ 1891.07,Referido
27/02/2026,PRINT,Impresión resina por encargo,1,S/ 140.46,IG
2025-10-18,EDU,Taller impresión 3D,1,S/ 744.76,IG
2026-07-25,Educación,Curso vacacional,5,S/ 3200.17,Feria
2026-07-16,tech ,Matriz/fixture,1,308.07,WhatsApp
2025-11-07,Coleccionables,Figura pintada a mano,2,198.80,Feria
2025-06-03,icon,Figura KUSI 10cm,1,61.06,Referido
09/05/2026,ICON,Figura Quri 8cm,2,78.88,Web
19-may-26,icon,,1,"179,99",
21/07/2025,Impresión 3D,Trofeo personalizado,2,429.33,WhatsApp
2026-06-09,ICON,Figura KUSI 10cm,5,"359,90",Referido
16/09/2025,icon,Figura pintada a mano,1,S/ 126.08,WhatsApp
10/02/2026,EDU,Taller impresión 3D,1,S/ 949.48,Web
2025-01-01,Icon ,Set diorama,20,2664.46,WhatsApp
2025-12-09,Educación,Curso vacacional,1,636.59,Instagram
2026-04-01,EDU,Taller impresión 3D,3,1244.26,
2025-12-15,Print,Prototipo funcional,3,1588.12,
5-oct-25,EDU ,Capacitación docentes,1,"1.379,06",Web
2-abr-26,print ,Impresión PLA por encargo,1,"195,11",Referido
2025-06-27,impresion 3d,Trofeo personalizado,1,S/ 200.23,whatsapp
8-ago-26,Coleccionables,Figura KUSI 10cm,1,"60,62",Web
22/08/2026,Print,Impresión resina por encargo,1,132.77,Instagram
2025-05-20,EDU ,Taller robótica colegio,1,913.55,Instagram
2025-04-19,PRINT,Prototipo funcional,1,S/ 462.20,
13/01/2026,EDU ,Taller impresión 3D,1,1153.49,Referido
26/04/2026,EDU,Curso vacacional,2,S/ 3016.32,WhatsApp
2025-01-23,impresion 3d,Impresión PLA por encargo,1,S/ 115.58,IG
2025-04-22,ICON,Set diorama,1,"103,46",WhatsApp
2025-11-21,ICON,Figura Quri 8cm,1,S/ 45.45,WhatsApp
2026-06-26,Impresión 3D,Impresión PLA por encargo,10,S/ 870.64,Referido
2025-02-06,Industrial,Escaneo y reingeniería,5,"7.085,26",whatsapp
2025-09-06,IMPRESION,Repuesto a medida,1,33.27,IG
2025-02-18,EDU,Curso vacacional,1,S/ 1406.85,Referido
8-dic-25,IMPRESION,Impresión PLA por encargo,2,"365,97",Instagram
23-jun-26,Coleccionables,Figura Quri 8cm,2,S/ 79.02,Instagram
27-jul-26,ICON,Figura KUSI 10cm,2,122.82,Instagram
8-abr-26,icon,Set diorama,1,S/ 91.55,IG
12/02/2025,Coleccionables,Figura Quri 8cm,1,39.98,WhatsApp
2026-01-01,Coleccionables,Llavero coleccionable,20,395.76,
2025-04-16,ICON,Set diorama,2,196.10,IG
2026-06-12,print ,Impresión PLA por encargo,1,S/ 154.39,Instagram
10/04/2026,icon,Figura Quri 8cm,1,"46,99",
2025-04-15,Coleccionables,Figura KUSI 10cm,1,"48,33",Instagram
15/07/2026,Coleccionables,Llavero coleccionable,1,S/ 17.36,whatsapp
22/06/2026,Print,Prototipo funcional,1,169.55,
26/02/2026,Educación,,1,S/ 606.70,Referido
02/05/2026,IMPRESION,Repuesto a medida,1,166.81,whatsapp
2025-03-13,impresion 3d,Repuesto a medida,1,"128,99",Referido
2025-03-21,EDU,Curso vacacional,1,S/ 782.90,Feria
2025-12-17,TECH,Matriz/fixture,3,1728.80,IG
24/03/2026,ICON,Figura KUSI 10cm,1,48.32,whatsapp
05/08/2026,TECH,Pieza técnica B2B,1,"550,81",Feria
20/11/2025,IMPRESION,Prototipo funcional,1,413.10,Referido
26/03/2025,TECH,Matriz/fixture,1,763.32,Referido
11/03/2025,ICON,Figura KUSI 10cm,1,66.64,Web
01/04/2026,educacion,Curso vacacional,1,"866,19",whatsapp
10/03/2025,PRINT,Repuesto a medida,1,138.70,
2025-12-27,Icon ,Figura Quri 8cm,5,S/ 196.23,Feria
2025-08-13,EDU,Taller impresión 3D,1,S/ 869.52,
26/09/2025,Edu,Taller robótica colegio,10,21011.64,Feria
2026-06-03,ICON,Figura KUSI 10cm,1,59.30,IG
11/03/2026,Educación,Taller robótica colegio,1,771.47,Web
12-oct-25,Print,Repuesto a medida,5,678.26,Feria
2025-07-24,Coleccionables,Figura KUSI 10cm,1,S/ 67.82,Feria
2026-06-27,Tech,Serie corta industrial,3,"2.225,96",
7-jul-26,IMPRESION,Trofeo personalizado,1,"117,25",whatsapp
3-jul-25,ICON,Set diorama,1,104.32,whatsapp
06/08/2026,Coleccionables,Figura Quri 8cm,3,S/ 114.86,Instagram
2025-10-08,impresion 3d,Repuesto a medida,5,509.51,IG
07/04/2026,ICON,Figura KUSI 10cm,1,66.06,Instagram
2025-07-05,EDU,Curso vacacional,1,574.84,
28/07/2025,print ,Impresión resina por encargo,1,65.48,Feria
2026-01-21,Industrial,Serie corta industrial,1,S/ 817.97,Instagram
2025-01-28,Educación,Curso vacacional,1,"1.768,44",Referido
28-mar-26,ICON,,2,S/ 115.19,WhatsApp
24/12/2025,ICON,Llavero coleccionable,1,S/ 15.95,
2025-12-17,Edu,Taller robótica colegio,1,1699.98,Web
2025-11-11,educacion,Capacitación docentes,5,S/ 8123.21,Instagram
25/09/2025,PRINT,Impresión PLA por encargo,2,S/ 437.05,IG
2026-02-23,Coleccionables,Figura pintada a mano,20,2678.63,Instagram
15/07/2026,Coleccionables,Llavero coleccionable,1,S/ 17.36,whatsapp
2026-01-27,TECH,Escaneo y reingeniería,1,"643,54",Instagram
05/03/2026,Coleccionables,Figura Quri 8cm,2,73.36,
2026-07-13,Edu,Capacitación docentes,1,976.27,Instagram
2026-06-21,ICON,Figura KUSI 10cm,1,67.49,Instagram
12/09/2025,impresion 3d,Impresión resina por encargo,1,"128,99",Feria
09/10/2025,IMPRESION,Trofeo personalizado,3,345.29,
06/11/2025,print ,Prototipo funcional,5,2240.85,Instagram
28/06/2026,print ,Prototipo funcional,1,131.57,Referido
23/04/2025,Impresión 3D,Impresión resina por encargo,5,"652,10",Web
19/11/2025,ICON,Figura pintada a mano,1,S/ 140.08,Instagram
16/04/2026,Icon ,Set diorama,1,"143,32",Feria
10/01/2026,Tech,,1,517.75,
02/07/2025,Print,Impresión PLA por encargo,1,184.55,Web
20-ago-26,PRINT,Impresión PLA por encargo,1,S/ 29.60,Referido
2026-03-02,ICON,Set diorama,10,1020.12,Web
2026-02-10,tech ,Escaneo y reingeniería,1,S/ 309.33,whatsapp
2026-06-17,Print,Repuesto a medida,2,152.67,whatsapp
26/09/2025,Coleccionables,Figura KUSI 10cm,1,"64,80",
7-jun-26,Coleccionables,Figura pintada a mano,1,164.42,IG
16/03/2026,ICON,Llavero coleccionable,2,47.79,Instagram
22/12/2025,IMPRESION,,5,607.75,whatsapp
2026-06-15,ICON,Figura KUSI 10cm,1,46.09,Referido
15/01/2026,icon,Set diorama,1,125.08,whatsapp
02/04/2026,ICON,Set diorama,2,291.51,Web
03/03/2025,Tech,Pieza técnica B2B,1,S/ 703.72,IG
11-may-25,PRINT,Impresión resina por encargo,5,1603.59,Instagram
2026-07-12,PRINT,,1,"24,79",WhatsApp
19/10/2025,TECH,Serie corta industrial,1,1390.96,WhatsApp
2025-08-06,Icon ,Set diorama,5,626.76,IG
13/07/2026,ICON,Figura pintada a mano,3,438.59,Instagram
2025-06-25,Industrial,Escaneo y reingeniería,1,985.14,Instagram
2026-02-28,Industrial,Escaneo y reingeniería,1,"653,05",IG
19-ene-25,tech ,Pieza técnica B2B,1,806.39,Referido
05/03/2026,Industrial,Escaneo y reingeniería,2,1764.18,Feria
26/01/2026,print ,Impresión resina por encargo,1,S/ 58.94,Referido
23/04/2025,EDU ,Taller impresión 3D,2,1432.33,Web
06/04/2026,Impresión 3D,Trofeo personalizado,2,186.40,Web
2025-05-18,Print,Prototipo funcional,1,"473,42",Referido
17/07/2026,Coleccionables,Llavero coleccionable,1,13.91,IG
2025-03-01,Industrial,Serie corta industrial,1,1812.56,IG
07/04/2026,educacion,Taller impresión 3D,1,436.06,WhatsApp
27/06/2026,PRINT,Impresión PLA por encargo,1,73.11,IG
2026-04-20,IMPRESION,Impresión PLA por encargo,1,117.51,Instagram
2026-06-26,educacion,Curso vacacional,1,"1.590,28",
4-may-25,ICON,Figura pintada a mano,1,S/ 136.61,Instagram
13/05/2025,icon,Figura KUSI 10cm,2,S/ 129.83,Referido
12-ene-26,TECH,Matriz/fixture,1,804.89,whatsapp
15/07/2026,ICON,Figura pintada a mano,1,"142,64",
2026-03-17,ICON,Figura KUSI 10cm,1,S/ 54.59,Web
2025-11-03,EDU,Capacitación docentes,1,1834.41,WhatsApp
12/09/2025,impresion 3d,Impresión resina por encargo,1,"128,99",Feria
03/04/2025,PRINT,Trofeo personalizado,1,208.56,
21/08/2026,EDU ,Taller robótica colegio,1,"2.147,78",IG
2025-09-21,icon,Figura KUSI 10cm,1,62.77,IG
2025-07-10,Icon ,Figura KUSI 10cm,1,66.16,Instagram
2025-04-19,Impresión 3D,Impresión resina por encargo,1,S/ 63.00,Instagram
23/04/2026,icon,Figura pintada a mano,2,S/ 181.34,WhatsApp
2026-07-23,Icon ,Figura pintada a mano,1,113.46,Web
20/07/2026,TECH,Serie corta industrial,10,22947.56,Web
2025-03-26,Icon ,Set diorama,1,134.41,Referido
2026-02-20,Print,Prototipo funcional,1,272.80,whatsapp
18/08/2026,Tech,Escaneo y reingeniería,3,S/ 1003.64,IG
2025-07-27,impresion 3d,Prototipo funcional,2,1008.65,Feria
,,,,,
25-ago-26,Impresión 3D,Repuesto a medida,1,94.59,whatsapp
2025-05-08,icon,Llavero coleccionable,1,"20,39",Instagram
19/07/2026,ICON,Figura KUSI 10cm,1,50.23,Instagram
2026-06-17,Print,Impresión PLA por encargo,10,S/ 1731.22,
6-ene-26,Print,Prototipo funcional,1,262.81,whatsapp
21/05/2025,Icon ,Llavero coleccionable,1,23.55,WhatsApp
2026-06-08,EDU,Capacitación docentes,1,S/ 783.11,Referido
11/01/2026,Impresión 3D,Impresión PLA por encargo,1,54.58,Feria
21/07/2026,ICON,Llavero coleccionable,1,S/ 19.61,Referido
2025-11-14,Tech,Serie corta industrial,1,"2.087,21",Web
08/01/2026,Impresión 3D,Impresión resina por encargo,1,134.83,Web
2025-09-15,icon,Set diorama,3,372.21,Web
2026-03-13,TECH,Pieza técnica B2B,3,S/ 1999.26,WhatsApp
2026-02-14,ICON,Set diorama,1,"109,84",Instagram
2026-08-18,PRINT,Impresión PLA por encargo,1,"184,16",whatsapp
09/02/2026,ICON,Figura KUSI 10cm,1,S/ 62.01,Feria
2025-02-28,ICON,Llavero coleccionable,1,S/ 14.10,Feria
2025-11-21,educacion,Capacitación docentes,1,"1.858,38",
05/05/2026,Impresión 3D,Prototipo funcional,1,584.99,Web
2026-01-05,PRINT,Prototipo funcional,1,"485,95",Feria
2025-05-19,impresion 3d,Impresión resina por encargo,2,166.01,Referido
24-ene-26,Impresión 3D,Prototipo funcional,1,S/ 138.50,WhatsApp
17/06/2026,icon,Llavero coleccionable,1,S/ 23.80,IG
19/03/2025,Tech,Serie corta industrial,1,1435.70,whatsapp
26/07/2026,Tech,Serie corta industrial,1,1559.27,
2026-06-26,EDU,Taller impresión 3D,5,5525.19,WhatsApp
21/12/2025,ICON,Llavero coleccionable,1,"14,72",IG
2026-03-11,Icon ,Llavero coleccionable,1,18.71,
07/12/2025,Edu,Taller impresión 3D,1,759.63,
19-oct-25,tech ,Serie corta industrial,1,2796.12,IG
2025-11-15,PRINT,Prototipo funcional,1,S/ 571.32,WhatsApp
2025-11-27,ICON,Figura KUSI 10cm,1,61.18,WhatsApp
01/02/2026,tech ,Matriz/fixture,3,S/ 2206.18,whatsapp
23/08/2025,TECH,Serie corta industrial,1,666.42,Feria
07/03/2026,IMPRESION,Trofeo personalizado,2,224.13,Web
2026-04-23,TECH,Serie corta industrial,1,1940.90,
2025-07-27,PRINT,Impresión resina por encargo,2,201.20,IG
2025-02-23,Icon ,Set diorama,2,S/ 288.77,Web
11/05/2025,ICON,Figura pintada a mano,1,S/ 159.10,IG
15/03/2026,ICON,Figura Quri 8cm,2,82.54,whatsapp
2025-08-26,impresion 3d,Impresión PLA por encargo,10,S/ 1201.48,whatsapp
2025-12-24,icon,Llavero coleccionable,1,S/ 17.71,Feria
26/07/2025,TECH,Matriz/fixture,3,"2.354,77",WhatsApp
13/04/2026,PRINT,Trofeo personalizado,1,S/ 134.98,whatsapp
11/11/2025,ICON,Figura KUSI 10cm,1,S/ 67.51,Feria
2026-04-17,Industrial,Pieza técnica B2B,20,13094.22,Feria
09/08/2026,icon,Figura Quri 8cm,1,S/ 40.66,Web
12/01/2026,Coleccionables,Figura Quri 8cm,3,S/ 166.66,whatsapp
24/02/2025,Print,Impresión resina por encargo,3,S/ 688.69,IG
22/07/2025,Print,Impresión PLA por encargo,1,S/ 197.85,Instagram
09/05/2025,Icon ,Llavero coleccionable,1,22.04,Feria
2026-01-22,Coleccionables,Llavero coleccionable,1,21.93,Referido
2025-06-05,impresion 3d,Prototipo funcional,1,489.23,Referido
14/02/2025,tech ,Escaneo y reingeniería,1,1477.35,Feria
2026-02-11,IMPRESION,Prototipo funcional,1,348.24,whatsapp
2026-07-23,Print,Impresión PLA por encargo,1,223.28,Feria
2025-04-25,ICON,Figura KUSI 10cm,1,S/ 66.33,
2026-06-12,PRINT,Prototipo funcional,3,S/ 1045.03,IG
15-abr-26,Industrial,Serie corta industrial,1,580.42,Feria
2025-09-01,TECH,Matriz/fixture,1,991.42,whatsapp
2025-11-11,impresion 3d,Impresión resina por encargo,3,610.77,IG
2026-07-20,tech ,Escaneo y reingeniería,1,S/ 765.68,Web
19/03/2026,Tech,Serie corta industrial,1,2222.48,Referido
12/09/2025,impresion 3d,Trofeo personalizado,3,"297,64",Feria
2026-05-16,tech ,Pieza técnica B2B,5,S/ 1948.99,Referido
28/11/2025,ICON,Figura pintada a mano,2,"343,91",IG
19/03/2026,IMPRESION,Impresión PLA por encargo,1,37.58,
15/08/2025,impresion 3d,,1,S/ 67.36,Instagram
2026-04-06,Print,Impresión PLA por encargo,1,99.82,IG
27/03/2026,Icon ,,1,116.19,
16/06/2026,icon,Figura Quri 8cm,3,173.26,Instagram
2025-05-07,Coleccionables,Figura Quri 8cm,1,49.19,Web
18/08/2026,icon,Llavero coleccionable,1,"13,16",WhatsApp
26/01/2025,IMPRESION,Impresión PLA por encargo,2,117.90,WhatsApp
23/08/2026,IMPRESION,Prototipo funcional,3,790.58,
2026-05-09,Icon ,Figura Quri 8cm,10,S/ 405.70,
11/11/2025,ICON,Figura KUSI 10cm,1,S/ 67.51,Feria
26/07/2026,Print,Impresión resina por encargo,5,S/ 544.39,
2025-11-12,impresion 3d,Impresión resina por encargo,1,S/ 70.12,Feria
2026-05-02,EDU ,Taller impresión 3D,1,1095.74,Referido
2025-12-08,TECH,Escaneo y reingeniería,1,S/ 1146.84,WhatsApp
20/09/2025,IMPRESION,Trofeo personalizado,1,"156,75",IG
02/09/2025,impresion 3d,Prototipo funcional,1,526.35,Feria
25/10/2025,icon,Figura pintada a mano,2,282.25,whatsapp
2025-05-18,print ,Trofeo personalizado,1,S/ 65.58,Web
2025-12-23,IMPRESION,Prototipo funcional,1,126.54,Instagram
18-ene-25,Edu,Taller robótica colegio,1,"900,43",
16-may-26,Impresión 3D,Trofeo personalizado,3,"493,14",WhatsApp
10/11/2025,ICON,Figura pintada a mano,3,"407,70",Feria
4-may-26,Print,Repuesto a medida,1,66.12,Feria
04/02/2026,TECH,Escaneo y reingeniería,1,1243.08,whatsapp
2025-10-11,Impresión 3D,Trofeo personalizado,1,"141,58",IG
01/12/2025,icon,Figura Quri 8cm,1,S/ 45.84,Instagram
2026-04-20,Print,Trofeo personalizado,1,138.01,whatsapp
11-mar-26,Coleccionables,Figura pintada a mano,1,115.30,IG
,,,,,
2026-08-18,ICON,Figura pintada a mano,10,S/ 1241.16,whatsapp
2026-05-17,Impresión 3D,Trofeo personalizado,1,185.25,IG
26-jun-26,EDU ,Taller robótica colegio,1,872.03,Referido
2026-01-27,Coleccionables,Set diorama,2,190.48,WhatsApp
25/03/2026,tech ,Pieza técnica B2B,3,S/ 603.58,Instagram
07/05/2026,EDU ,Capacitación docentes,1,1335.23,WhatsApp
2025-09-25,PRINT,Trofeo personalizado,1,81.55,whatsapp
2026-02-08,TECH,Pieza técnica B2B,1,577.19,Instagram
11/03/2025,ICON,Figura KUSI 10cm,1,66.64,Web
2025-07-28,IMPRESION,Trofeo personalizado,1,121.61,Instagram
2025-06-20,PRINT,Repuesto a medida,1,S/ 71.24,IG
2026-06-16,ICON,Llavero coleccionable,1,"20,64",IG
2025-12-27,IMPRESION,Repuesto a medida,1,S/ 49.32,Referido
2025-08-25,PRINT,Impresión PLA por encargo,1,S/ 57.92,Referido
14/02/2025,tech ,Escaneo y reingeniería,1,1477.35,Feria
2025-01-15,Coleccionables,Figura pintada a mano,1,"176,23",IG
17-mar-26,Icon ,Figura Quri 8cm,2,"80,30",whatsapp
2025-02-18,print ,Impresión resina por encargo,1,S/ 262.79,Web
2025-09-27,TECH,Escaneo y reingeniería,1,1194.79,whatsapp
2025-07-07,IMPRESION,Repuesto a medida,1,S/ 40.29,
2025-01-26,icon,Set diorama,1,94.10,WhatsApp
2026-01-19,print ,Impresión PLA por encargo,1,53.71,IG
12-set-25,impresion 3d,Prototipo funcional,1,144.85,
24/07/2026,Tech,Serie corta industrial,1,2124.83,
2025-04-14,EDU,Capacitación docentes,3,4708.45,Feria
2026-03-02,EDU,Taller robótica colegio,2,2998.73,Feria
2026-01-12,Edu,Taller impresión 3D,1,S/ 683.24,IG
21/07/2025,Impresión 3D,Trofeo personalizado,2,429.33,WhatsApp
15/04/2026,Coleccionables,Llavero coleccionable,20,328.95,whatsapp
2025-10-16,Icon ,Figura KUSI 10cm,2,"145,55",IG
2025-11-13,print ,Repuesto a medida,1,178.42,Instagram
2026-01-12,TECH,Pieza técnica B2B,1,"348,36",Feria
02/03/2026,Coleccionables,Figura pintada a mano,5,"741,86",WhatsApp
2026-02-12,Tech,Matriz/fixture,5,2356.50,whatsapp
19/07/2025,Icon ,Llavero coleccionable,1,16.59,Feria
2025-12-13,TECH,Matriz/fixture,2,S/ 638.86,IG
2026-06-19,print ,Prototipo funcional,1,450.96,whatsapp
28/07/2026,print ,Repuesto a medida,1,S/ 137.40,whatsapp
12/02/2025,Icon ,Figura Quri 8cm,1,49.23,
2026-04-26,icon,Figura pintada a mano,3,S/ 382.71,IG
2025-07-06,tech ,Pieza técnica B2B,1,765.15,
2026-08-11,TECH,Serie corta industrial,1,S/ 1000.52,Instagram
17/03/2025,TECH,Escaneo y reingeniería,5,3984.16,Feria
18/01/2026,Coleccionables,Set diorama,1,S/ 83.87,WhatsApp
21/04/2025,Coleccionables,Figura pintada a mano,3,S/ 418.99,IG
13/01/2025,print ,Trofeo personalizado,1,81.47,WhatsApp
2026-04-19,Icon ,Figura KUSI 10cm,1,S/ 46.88,whatsapp
03/01/2026,TECH,Pieza técnica B2B,3,-637.97,WhatsApp
2026-04-18,Educación,Taller robótica colegio,1,773.10,
2025-07-06,EDU ,Taller robótica colegio,1,563.08,Feria
26/02/2026,Print,Impresión resina por encargo,5,1900.64,IG
07/05/2025,TECH,Escaneo y reingeniería,1,840.35,
2026-04-15,EDU ,Taller impresión 3D,1,"856,29",IG
2025-09-03,Coleccionables,Figura pintada a mano,5,"817,89",whatsapp
2025-07-08,Tech,Serie corta industrial,1,1945.21,Referido
28/08/2026,EDU ,Capacitación docentes,1,1270.77,WhatsApp
2025-07-05,Icon ,Llavero coleccionable,3,53.63,Referido
2026-05-20,icon,Set diorama,1,S/ 113.15,whatsapp
2025-04-16,impresion 3d,Prototipo funcional,1,S/ 444.86,
07/01/2026,TECH,Serie corta industrial,2,3230.60,Web
2025-03-17,Edu,Taller robótica colegio,1,1459.81,WhatsApp
2026-08-13,icon,Figura KUSI 10cm,1,S/ 52.36,WhatsApp
03/07/2026,Print,Prototipo funcional,1,S/ 413.33,whatsapp
2025-07-10,tech ,Matriz/fixture,5,1876.13,Instagram
2025-03-14,Coleccionables,Llavero coleccionable,1,12.98,Feria
2026-05-14,tech ,Escaneo y reingeniería,1,S/ 531.28,Web
16/04/2026,Impresión 3D,Repuesto a medida,1,"109,99",Feria
2025-09-14,Print,Impresión resina por encargo,1,"83,68",Instagram
12-abr-26,Print,Prototipo funcional,1,404.05,WhatsApp
11/08/2026,Industrial,Serie corta industrial,1,742.09,Referido
2025-12-20,educacion,Curso vacacional,10,"4.008,69",WhatsApp
